name,address,cross_street_reference,ward,contact_name,phone,phone_extension,email,website
Plasp Sts. Cosmas And Damian C.S,111 Danesbury Ave,Marlee Ave/Glencairn Ave,Eglinton-Lawrence,Support Toronto Parent,1-888-739-4102,,,
Plasp Summit Heights P.S.,139 Armour Blvd,Wilson Ave/Bathurst St,York Centre,Support Toronto Parent,1-888-739-4102,,,plasp.com
Plasp Transfiguration Of Our Lord Catholic School,55 Ludstone Dr,Dixon Rd./Kipling Ave.,Etobicoke Centre,Support Toronto Parent,1-888-739-4102,,,
Plasp Twentieth Street Junior School,3190 Lake Shore Blvd W,,Etobicoke-Lakeshore,Support Toronto Parent,1-888-739-4102,,,
Play And Grow Child Care Centre,227 Drewry Ave,Yonge St/Finch Ave W,Willowdale,Marina Peitos,416-395-5098,,,
Playhouse Child Care Centre,15 Greenland Rd,Lawrence/Don Mills,Don Valley East,Posy Suri,416-441-3170,,,
Playland Ltd  - Daycare Centre,"5050 Dufferin St, 106",Dufferin/Steeles,York Centre,Xin Liu,647-988-8940,,,playlandltd.com
Play Loft,583 Danforth Ave,,Toronto-Danforth,Rhydima Deshpande,416-406-0110,,,playloft.ca
Pleasant Child Care Of North York,"288 Pleasant Ave, 101 & 103",Yonge/Steeles,Willowdale,Hamideh Habibi,416-733-2280,,,
Plp Early Learning At St. Mark,45 Cloverhill Rd,Park Lawn/The Queensway,Etobicoke-Lakeshore,Susana Contente-Lefkos,416-259-9335,,,
Pope Francis (North York Little Prints Daycare),319 Ossington Ave,Dunda St/Ossington,University-Rosedale,Chantel Nunes,416-458-3527,,,
Port Royal Jr YMCA,410 Port Royal Trail,Brimley/Steeles,Scarborough North,Rubala Jeganathan,416-298-8911,,,
Posluns Education Centre,18 Neptune Dr,Bathurst St/Wilson Ave,Eglinton-Lawrence,Tova Segal,416-787-1872,,,associatedhebrewschools.com
Precious Blood  Jr YMCA Elp,1035 Pharmacy Ave,,Scarborough Centre,Yvonne Lin,416-490-1624,,,
Precious Ones Bilingual Preschool Corp.,233 Westview Blvd,,Beaches-East York,Dominique Romain Fournier,416-755-0004,,,preciousones.ca
Pride In Heritage Children's Centre,55 Gateway Blvd,Don Mills/Overlea,Don Valley East,Rosemarie Ritchie,416-467-5981,,,pihcc.ca
Prince Edward Montessori School Of Toronto,2850 Bloor St W,Bloor/Prince Edward,Etobicoke-Lakeshore,Bozena Nowicka-Lipa,416-234-9127,,,princeedwardmontessori.com
Princess Margaret Nursery School,70 Princess Anne Cres,Eglinton Ave W Trl/Islington,Etobicoke Centre,Kevin Ribeiro,416-889-9403,,princessmargaretns@hotmail.com,
Prodigy Learning Centre,1545 Jane St,Jane/Lawrence W.,York South-Weston,Simran Kaur Puri,416-241-1902,,,
Progress Childcare (Scarborough Inc. #1 (3 Glamorgan),3 Glamorgan Ave,Kennedy/Hwy. 401,Scarborough Centre,Maria Wisniowska,416-291-3368,,,
Prosserman Jcc - Daycare And Preschool,4588 Bathurst St,Bathurst/Sheppard,York Centre,Leah Levy,416-638-1881,4250,,
Purple Tree Child Care Inc.,384 Soudan Ave,Mt. Pleasant/Eglinton Ave. E,Don Valley West,Debra Levin,416-932-9119,,,
Queen's Park Child Care Centre,7 Queens Park Cres E,University And College St,University-Rosedale,Marie Thomson,416-972-9979,,,
Queen Street Childcare Centre,10 White Squirrel Way,Queen Street W./Shaw Street,Spadina-Fort York,Charlotte De Souza,416-535-6701,,,
Queen Victoria Child Care Centre,100 Close Ave,King/Jameson,Parkdale-High Park,Connie Mackenzie,416-530-0683,,,
Rainbow's End Day Care Satellite,33 Lamberton Blvd,,Humber River-Black Creek,Carron Allen,416-633-4718,,,
Rainbow Village Childcare Centre (Mid-Scarborough Child Care),2460 Eglinton Ave E,Eglinton/Midland,Scarborough Centre,Nelly Daniels,416-266-5835,,,
Ranchdale Rompers Day Care,60 Ranchdale Cres,Victoria Pk./Ellesmere,Don Valley East,Donna Ciccarelli,416-441-1233,,,
Ranleigh Rascals,81 Ranleigh Ave,Yonge St./Lawrence Ave. E.,Don Valley West,Selina Boyer,416-487-2373,,,
Rawlinson B & A School Program,231 Glenholme Ave,Rogers Rd./Oakwood Ave.,Davenport,Diana Lurde,416-394-3079,,,
Rawlinson Early Learning & Child Care Centre,40 Earnscliffe Rd,Oakwood/St. Clair W.,Davenport,Emma Townson,416-392-5068,,,toronto.ca/children/telccs
Rec Room Child Care,69 Long Branch Ave,,Etobicoke-Lakeshore,Lee Won-Hi,647-717-7733,,,
Rec Room Child Care @mimico,46 Mimico Ave,,Etobicoke-Lakeshore,Rani Harpale,437-880-8215,,,
Red Apple Day Care (Overlea),135 Overlea Blvd,Don Mills/Overlea,Don Valley West,Donna Robinson,416-429-5437,,,redappledaycare.com
Red Apple Day Care - Rouge Valley,8450 Sheppard Ave E,Sheppard Ave E/Morningside Ave,Scarborough-Rouge Park,Ruby Malobago,416-900-4845,,,redappledaycare.com
Red Apple Day Care - St John XXIII,175 Grenoble Dr,Gateway Blvd./Don Mills,Don Valley East,Neena Locke,416-429-6662,,,redappledaycare.com
Regent Park Early Learning & Child Care Centre,40 Regent St,Dundas/Parliament,Toronto Centre,Windelynn Ortal,416-392-5513,,,toronto.ca/children/telccs
Rejoyce Caledon Community Child Care,26 Joyce Pky,Dufferin/Lawrence,Eglinton-Lawrence,Nimet Kara,416-789-1485,,,
Rendezvous Child Care Centre,18 Dallington Dr,Sheppard/Leslie,Don Valley North,Martha Sinclair,416-490-9360,,,
Rene Gordon School Age YMCA,20 Karen Rd,York Mills/Victoria Park,Don Valley East,Nelisha Karmali,416-293-3020,,,
Rexdale Day Nursery,925 Albion Rd,Islington/Albion,Etobicoke North,Laura Infusini,416-743-5057,,,
Rhyme & Reason Day Care,474 Browns Line,Brown's Line/Horner Ave.,Etobicoke-Lakeshore,Josie Blais,416-255-3008,,,
Ridley Orchard School Ltd.,1920 Avenue Rd,,Eglinton-Lawrence,Sophie Gretes,416-482-3272,,,ridleyorchardschool.com
Rippleton Roadsters Child Care Program,21 Rippleton Rd,Leslie/Lawrence,Don Valley West,Denise Cochrane,416-449-4559,,,
Rippleton Roadsters Satellite Program,1340 Leslie St,Leslie St./Lawrence Ave. E.,Don Valley West,Denise Cochrane,416-449-4559,,,
Riverdale Learning Loft Inc.,433 Pape Ave,,Toronto-Danforth,Joanna Kontonikolas,416-904-3606,,,
Riverdale Mighty Kids Corp,842 Gerrard St E,,Toronto-Danforth,Francine Brown,416-778-7575,,,
Robbins Hebrew Academy,1700 Bathurst St,,Toronto-St. Paul's,Blaire Hennick,416-224-8737,,,
Rockford Child Care,60 Rockford Rd,Bathurst/Steeles,York Centre,Amanda De Palma,416-663-6286,,,uppercanadachildcare.com
Roden Community Child Care Centre,151 Hiawatha Rd,Coxwell/Gerrard,Toronto-Danforth,Susan Scharlach,416-461-3010,,,
Rolph Road Day Care,31 Rolph Rd,Bayview/Eglinton,Don Valley West,Janet Moreau,416-487-5862,,,
Rolph Road - Leaside Day Care Centres (St. Anselm),182 Bessborough Dr,Bayview Ave./Millwood Rd.,Don Valley West,Frances Quin,416-487-5862,,,
Romero Bears Child Care Centre,99 Humber Blvd,Weston/Humber Blvd.,York South-Weston,Melissa Oliveira,416-509-0159,,,
Rosalie Hall Early Learning And Child Care Centre,3020 Lawrence Ave E,Lawrence/McCowan,Scarborough Centre,Chenise McCollins,416-438-6880,252,,
Rosedale Moore Park Association/Mooredale Preschool - Coach House,146 Crescent Rd,Mt. Pleasant/Bloor St. E.,University-Rosedale,Michelle Distefano,416-922-3714,113,,mooredale.com
Rosedale Moore Park Association/Mooredale Preschool - Main House,146 Crescent Rd,Mt. Pleasant/Bloor St. E.,University-Rosedale,Michelle Distefano,416-922-3714,113,,mooredale.com
Rosethorn Before And After School Program,2 Remington Dr,Rathburn/Kipling,Etobicoke Centre,Yosi Von Biela,416-239-4682,,,
Rouge Valley Jr YMCA,30 Durnford Rd,Sheppard E./Kingston Road,Scarborough-Rouge Park,Brenda O Grady,416-282-7253,,,
Rowntree Early Learning & Child Care Centre,2765 Islington Ave,Islington/Finch,Etobicoke North,Rosemary Amevenu,416-392-5089,,,toronto.ca/children/telccs
Royal Day Care Weston Inc,1737 Weston Rd,Weston/Lawrence W.,York South-Weston,Sharon Brown,416-249-9115,,,
Royal York Childcare Inc,74 Royal York Rd,,Etobicoke-Lakeshore,Nicole Canejo,416-259-1007,,,
Royal York Road School,851 Royal York Rd,Royal York/Bloor,Etobicoke-Lakeshore,Maria Atter,416-239-1555,,,ryrns.ca
Roywood Child Care North York,11 Roywood Dr,York Mills/Victoria Park,Don Valley East,Heather Boutcher,416-391-0222,,,
Runnymede Adventure Club,357 Runnymede Rd,Runnymede/Annette,Parkdale-High Park,Pamela McArthur,416-766-5599,,,
Ryerson Early Learning Centre (Ryerson University),350 Victoria St,Yonge/Dundas,Toronto Centre,Chanelle Henry,416-979-5338,,,
Sadochok Preschool Centre,35 West Deane Park Dr,Rathburn/East Mall,Etobicoke Centre,Galyna Bilous,416-626-7195,,,sadochokpreschool.com
Sandalwood Centre For Early Learning (Centres For Early Learning Inc.),1825 Finch Ave W,Jane/Finch,Humber River-Black Creek,Natasha Reid,416-638-0357,231,,
Sandbox Day Care Centre,15 Orton Park Rd,Lawrence/Orton Pk.,Scarborough-Guildwood,Lisa George,416-431-3327,,,
San Romanoway Boys & Girls Club,"10 San Romanoway, Ground Floor, North Wing",Jane/Finch Ave. W.,Humber River-Black Creek,Stephnie Payne,416-739-7949,,,srra.ca
Scarborough Citadel Child Care,2021 Lawrence Ave E,Lawrence/Warden,Scarborough Centre,Kimberly Sturge,416-759-1721,4,,
Scarborough Day Nursery School,51 Eastwood Ave,Kingston Rd./Warden,Scarborough Southwest,Oma Dalloo,416-698-5833,,,
Scarborough Jr YMCA,230 Town Centre Crt,McCowan/Ellesmere,Scarborough Centre,Erin Andersen,416-296-9907,,,
Scarborough Village Day Nursery 1,215 Markham Rd,Markham/Eglinton,Scarborough-Guildwood,Tanya Robinson,416-261-5048,,daynursery@rogers.com,
Scarborough Village Day Nursery 2,155 Markham Rd,Markham/Kingston Rd.,Scarborough-Guildwood,Habiba Badani,416-267-8881,,,
Score Day Camp,2760 Bathurst St,Bathurst/Glencairn Ave,Eglinton-Lawrence,Jeff Krupski,416-709-6383,,,scoredaycamp.com
Seafield Day Nursery,"100 York Gate Blvd, 109",Jane/Finch,Humber River-Black Creek,Mojan Jenab,416-663-0596,,,seafielddaynursery.com
Second Street School Age YMCA,71 Second St,Lake Shore Blvd W/Islington,Etobicoke-Lakeshore,Filomena Zita,416-252-8544,,,
Secord School Age YMCA,91 Barrington Ave,Main St./Danforth Ave.,Beaches-East York,Steffy Lappen,647-439-9905,,,ymcatoronto.org
Selwyn Community Child Care Centre,1 Selwyn Ave,St. Clair/O'Connor,Beaches-East York,Ruby Moayer,416-285-9730,,,
Seneca Hill Centre For Early Learning,"350 Seneca Hill Dr, Suite 101",Finch/Don Mills,Don Valley North,Andrea Leach,416-499-5112,221,,
Shaawnong Aboriginal Head Start,935 Dundas St E,Dundas/Broadview,Toronto-Danforth,Amanda Macewen,416-639-9036,,,
Shaughnessy Boulevard Children's Centre,30 Shaughnessy Blvd,Don Mills/Sheppard,Don Valley North,Sam Holt,416-499-6500,,,
Sheppard Business Park Child Care Centre,"1220 Sheppard Ave E, 112",Sheppard/Leslie,Don Valley North,Lucy Di Benedetto,416-499-1499,,,
Sheppard Square Day Nursery,5600 Sheppard Ave E,Markham/Sheppard,Scarborough North,Tracey Van Pedro,416-292-3607,,,
Shirley Street Jr YMCA,38 Shirley St,Dundas/McLarens,Davenport,Lindsay Barnett,416-849-3642,,,
"Shoreham Public Sports And Wellness Academy, Extended Day Program",31 Shoreham Dr,Jane Street/Shoreham Drive,Humber River-Black Creek,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/extended-day-program
Silver Creek Centre For Early Learning & Development,65 Hartsdale Dr,Eglinton Ave. W./Isslington,Etobicoke Centre,Irena Setnik,416-249-9770,,,silvercreekpreschool.ca
Silver Springs Extended Day & School Age Program,222 Silver Springs Blvd,Finch Ave E/Kennedy Rd,Scarborough-Agincourt,Jing Jing Liu,416-291-0023,,,
Silverstone Learning Centre,520 Silverstone Dr,Finch W./Martin Grove Rd.,Etobicoke North,Cynthia Rampaul,416-741-0414,,,
Simcoe Sunshine Child Care (166 Sylvan Avenue),166 Sylvan Ave,Markham/Kingston,Scarborough-Guildwood,Kim Rogers,416-264-4958,,,
Simplysmart Childcare Centre & Montessori,2271 Bloor St W,,Parkdale-High Park,Christina Calarco,647-369-8255,,,simplysmartchildcare.com
Sir Samuel B Steele Jr YMCA,131 Huntsmill Blvd,McNicoll/Warden,Scarborough-Agincourt,Maryam Sabri,647-438-6689,,,ymcatoronto.org
Small World Big Dreams Child Care Centre Inc.,"1085 Midland Ave, 1051",,Scarborough Centre,Sarah Lacanlale,647-808-2514,,,
Smart Start Montessori School (1416786 Ontario Limited),2660 Kennedy Rd,Kennedy/Huntingwood,Scarborough-Agincourt,Alicia Gomez,416-644-1130,,,
Sonechko Daycare Incorporated,301 Lanor Ave,Kipling Ave./Evans Ave.,Etobicoke-Lakeshore,Anna Gavris,416-255-7555,,,sonechko.net
Sprucecourt Child Care Centre,70 Spruce St,Parliament/Gerrard,Toronto Centre,Andrea Prifti,416-922-8827,,,
St. Alban's Boys And Girls Club Preschool,843 Palmerston Ave,Dupont/Bathurst,University-Rosedale,Karen Grant,416-534-8461,,,
St. Alphonsus,540 St Clair Ave W,Vaughan/St. Clair,Toronto-St. Paul's,Rosemary Mdota,416-651-2664,,,
St.Ambrose YMCA,20 Coules Crt,Brown's Line/Evans,Etobicoke-Lakeshore,Irene Grobelny,647-281-4410,,,ymcatoronto.org
St. Andrew Child Care Centre,2533 Kipling Ave,Finch/Kipling,Etobicoke North,Heather Repton,416-742-2228,,,lefca.org
"St. Bartholomew's Children's Centre, Regent Park Inc.",38 Regent St,,Toronto Centre,Marlone Dawkins,416-368-6375,,,
St. Bede Child Care Centre,521 Sewells Rd,Morningside/Sewells,Scarborough-Rouge Park,Ev Wilson,416-724-7132,,,
St. Bernadette's Family Resource Centre,20 Bansley Ave,Oakwood/Eglinton,Toronto-St. Paul's,Connie Naccarato,416-397-6300,,,
St. Boniface Jr YMCA,20 Markanna Dr,Kingston Rd./Markham,Scarborough Southwest,Felicia Bryan,416-261-9092,,,ymcatoronto.org
St. Brendan Kindergarten Before & After School Program,186 Centennial Rd,Lawrence Ave. E./Centennial Rd,Scarborough-Rouge Park,Sanaa Maher,416-281-0262,230,,
St. Clement's Early Learning School,70 St Clements Ave,Yonge/Eglinton,Eglinton-Lawrence,Marsha Hamilton,416-489-0822,,,scels.ca
St. Columba Catholic School,10 John Tabor Trail,Neilson Rd/Sewells Rd,Scarborough-Rouge Park,Amanda Sellers,437-216-1831,,,
St. Crispins Day Care Centre,530 Midland Ave,St Clair Ave E./Midland,Scarborough Southwest,Tanya Peters,416-267-1618,,,
St. Cyril's Before & After School Programme,18 Kempford Blvd,Yonge/Finch,Willowdale,Josee Chan,416-222-0151,,,
St. Dorothy Child Care Centre,155 John Garland Blvd,Martingrove/Finch,Etobicoke North,Montserrat Bassas,416-745-9892,,,
St. Edward YMCA,1 Botham Rd,Yonge/Sheppard,Willowdale,Navi Grewal,416-221-5000,,,
St. Fidelis Child Care Centre,155 Falstaff Ave,Jane St/Black Creek Dr,York South-Weston,Preeti Goyal,416-245-2446,,,
St. Fidelis Early Learning Centre,9 Bannerman St,Keele St/Lawrence Ave W.,York South-Weston,Preeti Goyal,416-245-2446,,,
St. Francis De Sales Jr Y,333 Firgrove Cres,Jane/Finch,Humber River-Black Creek,Debbie Silvester,647-438-6372,,,ymcatoronto.org
St. Gabriel's Jr YMCA,396 Spring Garden Ave,Bayview/Sheppard,Willowdale,Navi Grewal,416-221-5000,,,
St. George's School Age Child Care Programme,70 Princess Anne Cres,Eglinton Ave W Trl/Islington A,Etobicoke Centre,Jennifer Nguyen,416-576-3731,,,
St. George Mini School Inc,25 Mallard Rd,,Don Valley East,Skylar Zhou,647-812-7795,,,stgeorgeminischool.ca
St. George Mini School Inc - Bond,141 Bond Ave,Don Mills/York Mills,Don Valley East,Jenna I Wright,647-478-6043,,,stgeorgeminischool.ca
St. George Mini School - Mallard,33 Mallard Rd,Don Mills Rd/York Mills Rd,Don Valley East,Sarah Ashfield,647-478-6114,,,stgeorgeminischool.ca
St. Gregory's Before & After School Club,126 Rathburn Rd,Rathburn/Kipling,Etobicoke Centre,Pam Taskinen,416-236-8794,,,
St. Jerome Jr YMCA,111 Sharpecroft Blvd,Keele/Sheppard,York Centre,Rockey Persaud,437-225-8035,,,
St. Joseph Jr YMCA,176 Leslie St,Dundas St E/Leslie St,Toronto-Danforth,Steffy Lappen,647-439-9905,,,ymcatoronto.org
St. Lawrence Co-Operative Day Care (2 Princess Street),2 Princess St,Sherbourne/The Esplanade,Spadina-Fort York,Anna Marie Sison,416-363-9506,,,
St. Lawrence Co-Operative Day Care School Age (230 The Esplanade),230 The Esplanade,Esplanade/Parliament,Toronto Centre,Fil Lacaria,416-363-9425,,,
St. Lawrence Infant Toddler Centre (4 Market Street),4 Market St,Esplanade/Jarvis,Spadina-Fort York,Grace Kingston,416-363-5989,,,
St. Leo's YMCA Child Care,271 Royal York Rd,,Etobicoke-Lakeshore,Ashley Thompson,416-930-5467,,,
St. Malachy Before & After School Program,80 Bennett Rd,Lawrence Ave E/Beechgrove,Scarborough-Rouge Park,Sanaa Maher,416-281-0262,230,,
St. Marcellus Early Learning Centre,15 Denfield St,Eglinton/Kipling,Etobicoke Centre,Kristina Mariano,416-248-1803,,,
St. Michael And All Angels Day Care Centre,611 St Clair Ave W,St. Clair/Bathurst,Toronto-St. Paul's,Novea Lawson,416-653-1424,,,stmichaelsdaycare.com
St. Monica's Satellite (Central Eglinton),14 Broadway Ave,,Don Valley West,Kristen Dubois,416-440-0383,,,centraleglintonchildrenscentre.com
St. Nicholas Child Care Centre - Network,1020 McNicoll Ave,Victoria Park/Steeles Ave E,Scarborough-Agincourt,Fei Huang,416-530-0722,4095,,
St. Paschal Baylon,15 St Paschal Crt,Yonge/Steeles,Willowdale,Hamideh Habibi,416-733-2280,,,
St. Robert School Age YMCA,70 Bainbridge Ave,Bathurst/Sheppard Ave W,York Centre,Rockey Persaud,437-225-8035,,,ymcagta.org
St. Roch Child Care Centre,"174 Duncanwoods Dr, Childcare In The Back",Islington/Steeles,Humber River-Black Creek,Grace Addai,416-744-7785,,,lefca.org
St. Rose Of Lima YMCA Child Care,3220 Lawrence Ave E,McCowan/Lawrence,Scarborough-Guildwood,Mavis Campbell,647-439-0016,,,
St. Stephen Child Care Centre,55 Golfdown Dr,,Etobicoke North,Sandra Partipilo,416-519-5760,,,
St. Sylvester Child Care Centre,260 Silver Springs Blvd,Finch Ave E/Kennedy,Scarborough-Agincourt,Jing Jing Liu,416-291-0023,,,
St. Timothy YMCA Child Care,25 Rochelle Cres,Sheppard/Don Mills,Don Valley North,Rakhi Bhattacharya,647-985-4560,,,ymcatoronto.org
St. Ursula Licensed Before And After School Program,215 Livingston Rd,,Scarborough-Guildwood,Sanaa Maher,416-281-0262,230,,
St. Vincent Sunshine,116 Fermanagh Ave,Roncesvalle/N. Of Queen St W,Parkdale-High Park,Rebecca Alhairi,416-532-0428,,,
St. Wilfred YMCA,1685 Finch Ave W,Finch W./Jane,Humber River-Black Creek,Rockey Persaud,437-225-8035,,,ymcatoronto.org
St Agatha Catholic Before & After School Program,49 Cathedral Bluffs Dr,McCowen And Kingston,Scarborough Southwest,Vanessa Sterling,416-320-5807,,,
Start Right Child Care Centre,38 Orfus Rd,Dufferin/Lawrence,Eglinton-Lawrence,Lona Gayle,416-781-7066,,,startrightchildcare.com
Stepping Stones Day Nursery,342 Runnymede Rd,Runnymede/Bloor,Parkdale-High Park,Mechelle O'Brien - Nedd,416-769-9719,,,ssdaycare.com
Stilecroft Superkids,50 Stilecroft Dr,Keele/Sheppard,York Centre,Cynthia Bass,416-638-0352,,,
St Mark's Day Care Centre - Greenland Road,1 Greenland Rd,Don Mills/Lawrence,Don Valley East,Iren Telemi,416-444-6948,,,
"Studio 1,2,3 Early Learning Centre","401 Richmond St W, Box 123",Richmond/Spadina,Spadina-Fort York,Kathryn Firth,416-343-0093,,,
St Victor Catholic School Before & After Child Care Program,20 Bernadine St,Ellesmere Rd/Brimley Rd,Scarborough Centre,Anushi Jay,647-289-7259,,,
Sunburst Children's Centre,4905 Dufferin St,Dufferin/Steeles,York Centre,Cathy Orr,416-739-4684,,,sunburstchildcare.ca
Sunflower House,162 Dunn Ave,Dunn/King,Parkdale-High Park,Melissa Oliveira,416-530-0884,,,
Sunnybrook Creche,2075 Bayview Ave,Bayview/Lawrence,Don Valley West,Antonietta Monaco,416-480-4465,,,crechechildcare.org
Sunny Faces Day Care Centre - Rivercrest,30 Harefield Dr,Kipling/Elmhurst,Etobicoke North,Jamila Barrett,416-744-0778,,,
Sunny Faces Day Care Centre - St. Benedict Site,2202 Kipling Ave,Kipling/Rexdale Blvd.,Etobicoke North,Jamila Barrett,416-744-0778,,,
Sunnylea Child Care Centre,35 Glenroy Ave,Royal York/Bloor,Etobicoke-Lakeshore,Nandini Deena,416-233-6509,,,
Sunnylea Co-Operative Nursery School,86 Montgomery Rd,,Etobicoke Centre,Rose Angeli,416-716-1258,,,
Sunnyside Day Care - Roncesvalles,10 High Park Blvd,Dundas St. W./Bloor St.,Parkdale-High Park,Lauren Coxon,416-538-9654,,,sunnysidedaycare.com
Sunnyside Garden Day Care,225 Garden Ave,Queen W./Roncesvalles,Parkdale-High Park,Opal Hassock-Davis,416-533-2008,,,sunnysidegardendaycare.com
Sunnyside - Keele,236 Keele St,Bloor/Keele,Parkdale-High Park,Willow Turner,416-766-0312,,,sunnysidedaycare.com
Sunshine Child Care Centre (Mackie Sunshine C C. Inc)60 Heathfield,60 Heathfield Dr,Eglinton Ave./Kingston Rd.,Scarborough-Guildwood,Michele Dasilva,416-269-6309,,,
Sunshine Kids,"1 Westside Dr, 8",,Etobicoke-Lakeshore,Milica Scekic,416-622-7529,,,
Swansea Kids Place,207 Windermere Ave,Windermere/Queensway,Parkdale-High Park,Dawn Rhymer,416-763-1908,,,
Taddle Creek Montessori School,39 Spadina Rd,,University-Rosedale,Anne Smith,416-413-9493,,,
Tamarack Day Care Centre (765566 Ontario Inc),3315 Midland Ave,Midland/Finch,Scarborough North,Rowena Leung,416-293-3152,,,
Taylor Creek Early Learning & Child Care Centre,644 Warden Ave,Warden/St. Clair E.,Scarborough Southwest,Sharleen Jordan,416-392-5042,,,toronto.ca/children/telccs
"Taylor Creek Public School, Extended Day Program",644 Warden Ave,Danforth Road/Warden Avenue,Scarborough Southwest,,416-394-2072,,edp@tdsb.on.ca,tdsb.on.ca/earlyyears/extended-day-program
Teach Me To Fly Preschool,2560 Gerrard St E,,Scarborough Southwest,Eloise Morrison,647-295-2176,,,
Teddy Bear Academy,167 High Park Ave,High Park Ave./Annette,Parkdale-High Park,Aleena Persaud,647-351-1566,,,teddybearacademy.ca
Teddy Bear Educare Advance,86 Advance Rd,Advance Rd./Islington,Etobicoke-Lakeshore,Sabina Sawula,416-236-3308,,,teddybeareducare.com
Temple Sinai Nursery School,210 Wilson Ave,Avenue Rd./Wilson,Eglinton-Lawrence,Jenna Stern,416-903-2188,,,templesinai.net
Terraview-Willowfield Extended Day Program,95 Pachino Blvd,Victoria Park Ave/Hwy 401,Scarborough Centre,Mary Gatti,647-669-6201,,,
Terry Tan Child Care (Rossburn)Facility #4450,15 Rossburn Dr,Bloor/The West Mall,Etobicoke Centre,Michelle Fraser,416-621-9722,201,,terrytan.ca
Terry Tan Child Centre (Bloordale),4258 Bloor St W,Bloor St. W./West Mall,Etobicoke Centre,Christine Mackey,416-621-4822,,,terrytan.ca
Tfs Canada's International School (Mildenhall Branch),101 Mildenhall Rd,Lawrence Ave East/Bayview Av,Don Valley West,Celine Lebel,416-484-6980,4355,,tfs.ca
The Alderbuds Child Care Centre Of Etobicoke,399 The West Mall,The West Mall/Burnhamthorpe,Etobicoke Centre,Rita Ariganello-Verteouris,416-394-8284,,,
The Castle Child Care Centre,4480 Eglinton Ave W,,Etobicoke Centre,Marcos Marvian,416-459-6363,,,
The Clover School,3180 Bathurst St,,Eglinton-Lawrence,Isabelle Kunicki-Carter,416-781-4449,,,cloverschool.com
The Clover School - High Park,411 Clendenan Ave,,Parkdale-High Park,Isabelle Kunicki,416-938-1163,,,cloverschool.com
The Clover School - High Park Annette Campus,250 Annette St,,Parkdale-High Park,Isabelle Kunicki,416-938-1163,,,cloverschool.com
The Creative Preschool Of East Toronto,"49 Donlands Ave, Lower Level",,Toronto-Danforth,Jennifer Davison,416-465-3865,,,creativepreschool.ca
The Divine Infant Child Care Centre,30 Ingleton Blvd,McCowan/McNicoll,Scarborough North,Naseem Sahar,416-299-1405,,,familydaycare.com
The Giles School,80 Scarsdale Rd,York Mills Rd/Leslie Rd,Don Valley East,Caroline Bernaba,416-446-0825,,,gilesschool.ca
The Junior Academy,2454 Bayview Ave,,Don Valley West,Candace Mohammed,416-425-4567,,,junioracademy.com
The Laurel School,44 Upjohn Rd,,Don Valley East,Alyssa Seichter,416-510-2500,,,laurelschool.ca
The Learning Enrichment Foundation - St Maurice,45 Kingsview Blvd,,Etobicoke North,Maryam Ahmadi,416-551-5155,,,
The Learning Nest Academy,51 Vine Ave,Dundas St W/Keele St,Parkdale-High Park,Michael Meeks,905-332-7539,,,childventures.ca
The Learning Nest Academy,95 Sheppard Ave W,Sheppard Ave W/Yonge St,Willowdale,Melissa Capogna,416-874-4040,,,
The Little Campus,48 Rosemeade Ave,,Etobicoke-Lakeshore,Chinara Johnson,647-372-5437,504,,
The Mildenhall School,35 Ourland Ave,,Etobicoke-Lakeshore,Nicola Gillis,416-259-2822,,,mildenhallmontessori.com
The Montessori Schoolhouse,290 Runnymede Rd,Runnymede Rd/Bloor St W,Parkdale-High Park,Alison Grinton,905-330-7097,,info@themontessorischoolhouse.ca,themontessorischoolhouse.ca
The Munchkin Manor Daycare & Early Learning Centre,1087 Lillian St,Yonge St/Steeles Ave E,Willowdale,Min Young Kim,416-860-5660,,,themunchkinmanor.com
The Munchkin Manor Daycare & Early Learning Centre Inc.,525 Bloor St E,,Toronto Centre,Alexandra Anagnostopoulos,416-925-9993,,,
The Neighbourhood Group Bellevue Child Care,91 Bellevue Ave,,University-Rosedale,Nikki St. John,416-737-9578,110,,
The Neighbourhood Group Canoe Landing Before And After Program,"20 Brunel Crt, Southwest",,Spadina-Fort York,Cristina Desa Elias,416-830-5548,,,sschto.ca
The Neighbourhood Group Canoe Landing Child Care,26 Brunel Crt,,Spadina-Fort York,Diana Colella,437-848-8074,,,sschto.ca
The Neighbourhood Group Community Services Our Lady Of Lourdes,444 Sherbourne St,,Toronto Centre,Roshnie Sukraj,416-854-9889,,,sschto.ca
The Neighbourhood Group Downsview Child Care,2829 Keele St,,York Centre,Julie Chung,647-206-6367,,,
The Neighbourhood Group Harbourfront Child Care,"650 Queens Quay W, 101",Bathurst/Queen Quay,Spadina-Fort York,Fatima Pinheiro,416-925-2103,1756,,
The Neighbourhood Group King Edward Child Care,112 Lippincott St,,University-Rosedale,Cidalia Cutone,416-925-2103,5110,,
The Neighbourhood Group Lord Lansdowne Child Care,33 Robert St,,University-Rosedale,Domenica Brogno,416-839-4830,,,
The Neighbourhood Group Waterfront Child Care Centre,635 Queens Quay W,,Spadina-Fort York,Luljeta Aliu,647-206-4774,,,
The Neighbourhood Group Yonge And Sheppard Child Care Centre,"30 Sheppard Ave E, 313 North East",2nd Floor,Willowdale,Luljeta Toma,647-208-6063,,,sschto.ca
